,0,1,2,3
0,Perm,1e-10,0,-1
1,Perm,5e-05,0,-1
2,Perm,0.0001,0,-1
3,Perm,0.005,0,-1
4,Perm,0.001,0,-1
5,Perm,0.01,0,-1
6,Perm,0.1,0,-1
7,Perm,1,0,-1
8,Perm,1e-10,10,-1
9,Perm,5e-05,10,-1
10,Perm,0.0001,10,-1
11,Perm,0.005,10,-1
12,Perm,0.001,10,-1
13,Perm,0.01,10,-1
14,Perm,0.1,10,-1
15,Perm,1,10,-1
16,Perm,1e-10,30,-1
17,Perm,5e-05,30,-1
18,Perm,0.0001,30,-1
19,Perm,0.005,30,-1
20,Perm,0.001,30,-1
21,Perm,0.01,30,-1
22,Perm,0.1,30,-1
23,Perm,1,30,-1
24,Perm,1e-10,50,-1
25,Perm,5e-05,50,-1
26,Perm,0.0001,50,-1
27,Perm,0.005,50,-1
28,Perm,0.001,50,-1
29,Perm,0.01,50,-1
30,Perm,0.1,50,-1
31,Perm,1,50,-1
32,Perm,1e-10,70,-1
33,Perm,5e-05,70,-1
34,Perm,0.0001,70,-1
35,Perm,0.005,70,-1
36,Perm,0.001,70,-1
37,Perm,0.01,70,-1
38,Perm,0.1,70,-1
39,Perm,1,70,-1
40,Perm,1e-10,90,-1
41,Perm,5e-05,90,-1
42,Perm,0.0001,90,-1
43,Perm,0.005,90,-1
44,Perm,0.001,90,-1
45,Perm,0.01,90,-1
46,Perm,0.1,90,-1
47,Perm,1,90,-1
48,Perm,1e-10,100,-1
49,Perm,5e-05,100,-1
50,Perm,0.0001,100,-1
51,Perm,0.005,100,-1
52,Perm,0.001,100,-1
53,Perm,0.01,100,-1
54,Perm,0.1,100,-1
55,Perm,1,100,-1
56,RosenBrock,1e-10,0,1301360.3744893097
57,RosenBrock,5e-05,0,1180.5346265341432
58,RosenBrock,0.0001,0,649.2865668928584
59,RosenBrock,0.005,0,-1
60,RosenBrock,0.001,0,-1
61,RosenBrock,0.01,0,-1
62,RosenBrock,0.1,0,-1
63,RosenBrock,1,0,-1
64,RosenBrock,1e-10,10,1263115.4583157902
65,RosenBrock,5e-05,10,1240.7673733795004
66,RosenBrock,0.0001,10,712.8316367957889
67,RosenBrock,0.005,10,-1
68,RosenBrock,0.001,10,-1
69,RosenBrock,0.01,10,-1
70,RosenBrock,0.1,10,-1
71,RosenBrock,1,10,-1
72,RosenBrock,1e-10,30,1314800.8623479842
73,RosenBrock,5e-05,30,1355.9952973643963
74,RosenBrock,0.0001,30,605.6066124268342
75,RosenBrock,0.005,30,-1
76,RosenBrock,0.001,30,-1
77,RosenBrock,0.01,30,-1
78,RosenBrock,0.1,30,-1
79,RosenBrock,1,30,-1
80,RosenBrock,1e-10,50,1514230.4557382402
81,RosenBrock,5e-05,50,1122.8006272299797
82,RosenBrock,0.0001,50,502.8283862137897
83,RosenBrock,0.005,50,-1
84,RosenBrock,0.001,50,-1
