k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.4769,0.4871,0.4847,0.4941,0.4831,0.475,0.4948,0.4848,0.4752
0.44,0.4629,0.4909,0.5026,0.4861,0.4779,0.4707,0.4819,0.4941
0.4582,0.4776,0.5023,0.4892,0.4915,0.4937,0.4898,0.4774,0.4804
0.4666,0.4987,0.5007,0.4793,0.4927,0.4803,0.4965,0.4803,0.4989
0.4613,0.4782,0.4774,0.4905,0.4811,0.4884,0.495,0.4982,0.5133
0.4597,0.4865,0.5087,0.4819,0.4748,0.4785,0.4899,0.4893,0.4904
0.4755,0.5015,0.4781,0.4812,0.4924,0.4849,0.4928,0.4825,0.4878
0.4789,0.4749,0.4794,0.4905,0.4838,0.4847,0.4903,0.5106,0.4874
0.478,0.4791,0.4766,0.4879,0.4768,0.4819,0.5013,0.4863,0.4872
0.472,0.4775,0.4856,0.494,0.4947,0.4814,0.4801,0.491,0.4949
