k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.6833,0.7048,0.7062,0.7319,0.7053,0.7339,0.7149,0.7527,0.7056
0.6805,0.6848,0.7194,0.7277,0.7496,0.7397,0.7357,0.7331,0.7297
0.6819,0.6975,0.711,0.7156,0.72,0.7359,0.739,0.738,0.7391
0.6635,0.6662,0.7042,0.7204,0.7397,0.7528,0.7307,0.755,0.74
0.7001,0.6874,0.6919,0.6925,0.7189,0.7513,0.7184,0.7407,0.7409
0.6799,0.6978,0.7067,0.7283,0.7196,0.7332,0.7276,0.7447,0.7368
0.6951,0.7095,0.7033,0.7309,0.7355,0.7369,0.7376,0.75,0.7379
0.6796,0.6828,0.7238,0.725,0.7262,0.7415,0.7326,0.7343,0.7152
0.6777,0.6926,0.7206,0.7261,0.7373,0.7421,0.7371,0.7496,0.7368
0.6767,0.6921,0.7115,0.7195,0.7331,0.7253,0.7248,0.7492,0.7268
0.6841,0.6835,0.7111,0.6941,0.7164,0.7361,0.7238,0.7457,0.71
0.6975,0.6965,0.6952,0.6999,0.7206,0.7435,0.7376,0.7349,0.7382
0.6737,0.6934,0.7202,0.7111,0.7326,0.72,0.7416,0.7554,0.723
0.6855,0.7076,0.687,0.7129,0.7459,0.7358,0.7234,0.7461,0.747
0.6795,0.7033,0.7149,0.7248,0.7301,0.7188,0.7317,0.7352,0.7514
0.6737,0.7036,0.7275,0.7218,0.7148,0.7397,0.7312,0.7407,0.7306
0.667,0.6995,0.6937,0.728,0.7142,0.7327,0.7482,0.7407,0.7417
0.6968,0.7027,0.6786,0.724,0.7347,0.7414,0.7513,0.7495,0.7431
0.6771,0.7075,0.7111,0.7384,0.7211,0.7337,0.7141,0.7411,0.7272
0.6748,0.6998,0.7264,0.7329,0.7242,0.7305,0.7427,0.7546,0.7568
0.6653,0.6977,0.7239,0.7135,0.7368,0.7455,0.7435,0.7441,0.7527
0.6894,0.7163,0.7059,0.7211,0.7288,0.7194,0.7281,0.7579,0.7505
0.6901,0.6957,0.7106,0.7127,0.7233,0.7356,0.7409,0.7382,0.7321
0.6834,0.718,0.7042,0.7013,0.7409,0.7261,0.73,0.7415,0.7348
0.6999,0.707,0.7111,0.7214,0.7432,0.7317,0.7383,0.7407,0.7553
