k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7735,0.7668,0.7334,0.733,0.7137,0.7142,0.6918,0.6859,0.679
0.7763,0.7513,0.7416,0.7327,0.7005,0.6969,0.6861,0.6739,0.6743
0.7325,0.7577,0.7312,0.7267,0.7113,0.7017,0.7035,0.6904,0.6674
0.7641,0.7616,0.7395,0.7259,0.7124,0.7099,0.6855,0.6954,0.6796
0.7596,0.7585,0.7371,0.7223,0.7106,0.6995,0.6886,0.6722,0.6726
0.7718,0.7533,0.7474,0.7275,0.7076,0.7161,0.6661,0.6913,0.6823
0.7515,0.7662,0.7367,0.7263,0.7184,0.7043,0.6815,0.6734,0.6758
0.7834,0.7465,0.7358,0.7142,0.7224,0.7085,0.6752,0.6818,0.6674
0.7781,0.7522,0.7234,0.7318,0.7175,0.7013,0.6766,0.6727,0.6593
0.7514,0.7357,0.7199,0.7228,0.7062,0.699,0.6849,0.6748,0.663
0.7696,0.7634,0.7295,0.729,0.7199,0.7019,0.6702,0.67,0.6766
0.7752,0.7539,0.7447,0.7193,0.7029,0.7096,0.6882,0.666,0.674
0.7688,0.7573,0.73,0.7229,0.7207,0.7095,0.6816,0.6697,0.6713
0.7884,0.746,0.7434,0.7253,0.721,0.6979,0.6815,0.6848,0.6839
0.788,0.7543,0.7355,0.7136,0.7124,0.6961,0.6717,0.6774,0.6667
0.7703,0.7536,0.7341,0.7236,0.7155,0.6996,0.6708,0.6954,0.6763
0.7504,0.76,0.7369,0.7325,0.7166,0.707,0.6863,0.6836,0.6688
0.7779,0.7386,0.7133,0.7161,0.7117,0.6919,0.6909,0.6765,0.6825
0.7631,0.7588,0.7346,0.7205,0.7063,0.6786,0.6624,0.6857,0.6626
0.7792,0.7628,0.7225,0.7324,0.7197,0.7048,0.6807,0.6882,0.6691
0.7617,0.7589,0.7437,0.7295,0.7034,0.6881,0.6815,0.6827,0.6931
0.7562,0.7605,0.7354,0.7219,0.7218,0.6948,0.672,0.6908,0.6649
0.7681,0.7557,0.7409,0.7036,0.7161,0.687,0.67,0.6828,0.6605
0.7465,0.7552,0.7263,0.7263,0.7117,0.6888,0.6769,0.6727,0.6768
0.7681,0.7526,0.7196,0.723,0.7055,0.6956,0.6718,0.6911,0.6805
