k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7712,0.8307,0.8543,0.8048,0.8537,0.8615,0.8688,0.8538,0.847
0.7808,0.8057,0.8321,0.8311,0.8454,0.8371,0.855,0.8352,0.8653
0.7666,0.8131,0.8283,0.8496,0.8389,0.85,0.8498,0.8585,0.8431
0.7455,0.8168,0.8404,0.8241,0.8465,0.8614,0.856,0.8473,0.8367
0.7761,0.8253,0.8377,0.8557,0.8447,0.8617,0.8464,0.8671,0.8757
0.7927,0.7854,0.8603,0.8676,0.8296,0.8654,0.8484,0.8624,0.863
0.7864,0.7996,0.8412,0.8604,0.8287,0.8301,0.8444,0.8554,0.8506
0.7885,0.8124,0.8373,0.834,0.8543,0.8584,0.8587,0.8506,0.8417
0.7554,0.8022,0.8198,0.852,0.8342,0.8746,0.837,0.8477,0.8603
0.7947,0.814,0.8283,0.8513,0.8621,0.8559,0.8472,0.8374,0.8412
