k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8423,0.8715,0.8623,0.856,0.8605,0.848,0.8379,0.8328,0.8269
0.8632,0.8747,0.8491,0.8658,0.8358,0.8477,0.8339,0.8353,0.8247
0.8679,0.8629,0.8591,0.8564,0.8523,0.8554,0.8354,0.828,0.8132
0.8655,0.8764,0.8661,0.855,0.8397,0.8499,0.8439,0.8315,0.8345
0.8562,0.8739,0.8615,0.8568,0.8534,0.8489,0.8229,0.833,0.8193
0.858,0.8644,0.8636,0.8585,0.8422,0.847,0.833,0.8436,0.8329
0.8636,0.8759,0.8682,0.8595,0.8374,0.8481,0.8358,0.836,0.8217
0.8562,0.872,0.869,0.8516,0.847,0.8359,0.8353,0.8479,0.8223
0.8387,0.8642,0.8667,0.857,0.8434,0.8517,0.813,0.8279,0.8318
0.8485,0.8793,0.8699,0.8519,0.8406,0.8503,0.8434,0.8385,0.8386
0.8684,0.8622,0.8618,0.8529,0.8358,0.854,0.8435,0.8367,0.8422
0.876,0.8695,0.8556,0.8546,0.8294,0.853,0.823,0.8397,0.8486
0.861,0.8553,0.8655,0.8659,0.8484,0.8532,0.8318,0.8414,0.821
0.8714,0.8538,0.8665,0.8559,0.8489,0.8448,0.847,0.8382,0.8333
0.8502,0.8674,0.8597,0.8581,0.8578,0.8462,0.8436,0.8341,0.8366
0.8596,0.8728,0.8724,0.8523,0.8461,0.8505,0.8305,0.8303,0.834
0.8686,0.8696,0.8656,0.8611,0.8614,0.8385,0.8269,0.8255,0.8261
0.8691,0.8711,0.8619,0.8515,0.852,0.8485,0.8395,0.8349,0.8251
0.8308,0.8788,0.8573,0.8559,0.8416,0.8507,0.8376,0.8418,0.8361
0.8427,0.8721,0.87,0.8618,0.8479,0.8498,0.842,0.8426,0.8315
0.8552,0.882,0.8567,0.8542,0.8378,0.8573,0.8306,0.8417,0.838
0.8589,0.873,0.8782,0.8618,0.8643,0.8477,0.8408,0.8279,0.8323
0.8502,0.871,0.8653,0.8549,0.8546,0.8518,0.845,0.8427,0.8315
0.8655,0.8733,0.8759,0.8581,0.8473,0.8502,0.8237,0.8428,0.8376
0.8632,0.8755,0.8651,0.8612,0.8425,0.8279,0.8266,0.8369,0.8354
