k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.5924,0.8181,0.868,0.8588,0.8899,0.8844,0.8823,0.8772,0.8846
0.7472,0.8584,0.8258,0.8998,0.8931,0.8599,0.8626,0.87,0.8741
0.4573,0.8816,0.8885,0.8458,0.8867,0.8622,0.8676,0.8931,0.8597
0.5709,0.845,0.8823,0.8868,0.8677,0.8622,0.861,0.8904,0.875
0.5956,0.8397,0.8729,0.8889,0.8815,0.8803,0.867,0.885,0.8755
0.6762,0.8758,0.8919,0.8748,0.8899,0.8787,0.8699,0.8784,0.8845
0.5131,0.8243,0.8966,0.8555,0.8807,0.8895,0.8914,0.8692,0.8788
0.4122,0.8689,0.8807,0.8568,0.8885,0.8792,0.8819,0.8912,0.8682
0.4744,0.8519,0.8682,0.8927,0.8682,0.9,0.8754,0.8818,0.8866
0.4724,0.8819,0.8947,0.8631,0.8872,0.8799,0.8656,0.8869,0.8811
0.5228,0.8239,0.8794,0.8926,0.8959,0.8839,0.8813,0.8787,0.8759
0.4847,0.8587,0.8942,0.8854,0.8824,0.8831,0.8902,0.8684,0.8701
0.7024,0.8465,0.8223,0.8862,0.8891,0.8685,0.8873,0.8909,0.8677
0.44,0.8769,0.8643,0.8835,0.8737,0.9013,0.8956,0.8764,0.8882
0.4099,0.8077,0.8518,0.8524,0.8872,0.8825,0.8709,0.8837,0.8709
0.3501,0.7808,0.8358,0.9047,0.886,0.8891,0.8691,0.8646,0.8847
0.5126,0.7855,0.8536,0.8819,0.8437,0.8879,0.8857,0.8896,0.8924
0.6345,0.7982,0.8554,0.856,0.8748,0.8779,0.8778,0.8694,0.8829
0.4625,0.8022,0.869,0.8586,0.8937,0.8931,0.868,0.875,0.8675
0.6734,0.811,0.8432,0.904,0.8694,0.904,0.8667,0.8825,0.8809
0.4721,0.8392,0.8306,0.9123,0.8631,0.8698,0.883,0.8808,0.8832
0.5595,0.8612,0.8894,0.9018,0.8785,0.8824,0.8772,0.8832,0.8804
0.4754,0.8351,0.8622,0.8944,0.8802,0.8734,0.865,0.8713,0.8641
0.5458,0.7624,0.8824,0.8837,0.8861,0.8949,0.8838,0.8635,0.8502
0.4755,0.8602,0.8991,0.8952,0.8822,0.8796,0.8834,0.8912,0.8463
