k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.9248,0.9133,0.9016,0.8919,0.8701,0.8791,0.8522,0.8511,0.857
0.9161,0.9161,0.8903,0.889,0.8828,0.877,0.864,0.8682,0.8515
0.9208,0.9053,0.8979,0.8893,0.885,0.8797,0.8717,0.8658,0.8573
0.9231,0.8957,0.902,0.8843,0.8777,0.8792,0.8557,0.8669,0.8536
0.927,0.9018,0.8975,0.8905,0.8713,0.883,0.8745,0.8657,0.8548
0.9252,0.905,0.8939,0.8887,0.8762,0.873,0.856,0.8548,0.871
0.9271,0.9071,0.8955,0.8879,0.8847,0.8688,0.863,0.8608,0.8492
0.9262,0.9055,0.8951,0.8842,0.8801,0.8786,0.8618,0.8626,0.8634
0.9218,0.9034,0.9057,0.8689,0.8793,0.8793,0.8742,0.8683,0.8576
0.8924,0.904,0.9031,0.8902,0.8829,0.875,0.857,0.8717,0.8515
